farm_id,farmer_id,district_id,state,district,latitude,longitude,area_hectares,boundary_type,soil_type,water_source,irrigation_type,registration_date
FARM0038,FARM_USR0034,DIST024,Karnataka,Mysuru,12.340838,76.668086,2.2,pin,Alluvial,Borewell,Flood,2023-07-18
FARM0039,FARM_USR0035,DIST026,Andhra Pradesh,Krishna,16.686386,80.5899,0.45,polygon,Clay loam,Rainfed,Drip,2024-10-09
FARM0040,FARM_USR0036,DIST018,Maharashtra,Nagpur,21.197511,79.151815,2.3,pin,Loam,Canal,Flood,2023-01-25
FARM0041,FARM_USR0037,DIST005,Haryana,Hisar,29.196135,75.615779,4.96,pin,Sandy loam,Farm Pond,Drip,2025-05-15
FARM0042,FARM_USR0038,DIST017,Maharashtra,Pune,18.382289,74.00329,0.47,pin,Alluvial,River Lift,Sprinkler,2023-09-24
FARM0043,FARM_USR0039,DIST012,West Bengal,Nadia,23.566623,88.597451,0.83,pin,Black soil,Farm Pond,Sprinkler,2024-11-18
FARM0044,FARM_USR0039,DIST012,West Bengal,Nadia,23.413296,88.480418,2.03,polygon,Black soil,Borewell,Sprinkler,2024-11-22
FARM0045,FARM_USR0040,DIST017,Maharashtra,Pune,18.549215,73.734271,1.27,pin,Sandy loam,Rainfed,Flood,2024-06-27
FARM0046,FARM_USR0041,DIST001,Punjab,Ludhiana,30.884444,75.738713,2.63,polygon,Alluvial,Farm Pond,Drip,2023-07-01
FARM0047,FARM_USR0042,DIST011,West Bengal,Bardhaman,23.287871,87.956568,0.53,pin,Alluvial,Farm Pond,Sprinkler,2025-03-24
FARM0048,FARM_USR0043,DIST009,Bihar,Patna,25.679726,85.031304,2.15,pin,Black soil,Farm Pond,Sprinkler,2024-06-10
FARM0049,FARM_USR0043,DIST009,Bihar,Patna,25.692283,85.161812,1.46,pin,Clay loam,Canal,Flood,2024-06-13
FARM0050,FARM_USR0044,DIST020,Gujarat,Ahmedabad,23.061155,72.498977,0.37,pin,Sandy loam,River Lift,Sprinkler,2025-01-02
FARM0051,FARM_USR0045,DIST023,Karnataka,Belagavi,15.953772,74.474076,1.63,pin,Black soil,Farm Pond,Sprinkler,2024-08-05
FARM0052,FARM_USR0045,DIST023,Karnataka,Belagavi,15.792848,74.573916,0.8,pin,Clay loam,Farm Pond,Flood,2024-08-06
FARM0053,FARM_USR0046,DIST004,Haryana,Karnal,29.698489,76.97778,0.35,polygon,Alluvial,River Lift,Sprinkler,2023-12-18
FARM0054,FARM_USR0047,DIST022,Rajasthan,Kota,25.074382,75.940856,2.11,pin,Black soil,Farm Pond,Rainfed,2025-04-02
FARM0055,FARM_USR0048,DIST005,Haryana,Hisar,29.167722,75.839944,0.42,pin,Clay loam,Canal,Drip,2025-02-27
FARM0056,FARM_USR0048,DIST005,Haryana,Hisar,29.294766,75.606414,2.75,polygon,Black soil,River Lift,Rainfed,2025-02-15
FARM0057,FARM_USR0049,DIST027,Tamil Nadu,Thanjavur,10.652781,79.207587,0.49,polygon,Alluvial,Farm Pond,Rainfed,2024-12-27
FARM0058,FARM_USR0049,DIST027,Tamil Nadu,Thanjavur,10.89996,79.085988,0.53,pin,Loam,Canal,Sprinkler,2025-01-14
FARM0059,FARM_USR0050,DIST007,Uttar Pradesh,Lucknow,26.963397,80.989396,0.99,pin,Red soil,Farm Pond,Drip,2023-04-06
FARM0060,FARM_USR0051,DIST015,Madhya Pradesh,Ujjain,23.102833,75.925424,1.2,pin,Loam,Canal,Drip,2024-02-07
FARM0061,FARM_USR0052,DIST004,Haryana,Karnal,29.65728,76.88851,2.04,pin,Red soil,Rainfed,Rainfed,2023-04-21
FARM0062,FARM_USR0052,DIST004,Haryana,Karnal,29.585193,77.073858,1.09,pin,Clay loam,Borewell,Flood,2023-05-06
FARM0063,FARM_USR0053,DIST025,Andhra Pradesh,Guntur,16.197159,80.574918,0.89,polygon,Sandy loam,Canal,Drip,2024-12-02
FARM0064,FARM_USR0054,DIST017,Maharashtra,Pune,18.649686,73.814168,1.39,pin,Sandy loam,Rainfed,Sprinkler,2024-12-25
FARM0065,FARM_USR0054,DIST017,Maharashtra,Pune,18.589826,73.863812,1.16,pin,Alluvial,Canal,Drip,2025-01-09
FARM0066,FARM_USR0055,DIST014,Madhya Pradesh,Bhopal,23.125727,77.276704,1.15,pin,Clay loam,Borewell,Sprinkler,2023-10-24
FARM0067,FARM_USR0056,DIST020,Gujarat,Ahmedabad,23.157028,72.448788,0.65,pin,Clay loam,Rainfed,Sprinkler,2023-04-08
FARM0068,FARM_USR0057,DIST018,Maharashtra,Nagpur,21.060236,79.167122,1.37,pin,Black soil,Borewell,Flood,2024-10-09
FARM0069,FARM_USR0058,DIST009,Bihar,Patna,25.72554,85.128514,1.24,pin,Loam,Borewell,Flood,2023-08-11
FARM0070,FARM_USR0059,DIST007,Uttar Pradesh,Lucknow,26.858417,81.06372,0.94,pin,Black soil,Canal,Flood,2024-06-02
FARM0071,FARM_USR0060,DIST002,Punjab,Amritsar,31.730934,74.905116,3.01,polygon,Loam,Rainfed,Flood,2025-02-08
