score_id,farm_id,crop_id,crop_name,weather_suitability_score,market_opportunity_score,msp_safety_score,risk_score,overall_score,explanation,generated_date,rank_within_farm
SCORE00011,FARM0071,CROP025,Mango,59.2,62.9,40.5,56.6,56.2,Weather fit 59.2/100 (forecast avg temp 23.6C vs ideal 30-8000C; 674mm forecast vs 900mm crop requirement); Market opportunity 62.9/100 (recent mandi trend); MSP safety 40.5/100; combined risk 56.6/100.,2026-08-29,2
SCORE00012,FARM0071,CROP015,Sesame,32.3,42.2,62.8,41.4,42.7,Weather fit 32.3/100 (forecast avg temp 23.6C vs ideal 32-500C; 674mm forecast vs 400mm crop requirement); Market opportunity 42.2/100 (recent mandi trend); MSP safety 62.8/100; combined risk 41.4/100.,2026-08-29,5
SCORE00013,FARM0071,CROP011,Soybean,73.9,30.6,53.4,56.8,54.2,Weather fit 73.9/100 (forecast avg temp 23.6C vs ideal 28-1500C; 674mm forecast vs 600mm crop requirement); Market opportunity 30.6/100 (recent mandi trend); MSP safety 53.4/100; combined risk 56.8/100.,2026-08-29,3
SCORE00014,FARM0071,CROP019,Potato,86.1,60.6,35.0,68.2,65.5,Weather fit 86.1/100 (forecast avg temp 23.6C vs ideal 22-22000C; 674mm forecast vs 500mm crop requirement); Market opportunity 60.6/100 (recent mandi trend); MSP safety 35.0/100; combined risk 68.2/100.,2026-08-29,1
SCORE00015,FARM0071,CROP007,Chickpea (Gram),56.2,27.8,69.2,50.3,49.4,Weather fit 56.2/100 (forecast avg temp 23.6C vs ideal 25-1200C; 674mm forecast vs 350mm crop requirement); Market opportunity 27.8/100 (recent mandi trend); MSP safety 69.2/100; combined risk 50.3/100.,2026-08-29,4
SCORE00016,FARM0066,CROP017,Sugarcane,47.4,45.1,83.9,54.0,55.0,Weather fit 47.4/100 (forecast avg temp 26.4C vs ideal 32-80000C; 714mm forecast vs 2000mm crop requirement); Market opportunity 45.1/100 (recent mandi trend); MSP safety 83.9/100; combined risk 54.0/100.,2026-08-29,4
SCORE00017,FARM0066,CROP008,Pigeon Pea (Tur),78.8,60.9,74.1,72.5,71.5,Weather fit 78.8/100 (forecast avg temp 26.4C vs ideal 30-900C; 714mm forecast vs 650mm crop requirement); Market opportunity 60.9/100 (recent mandi trend); MSP safety 74.1/100; combined risk 72.5/100.,2026-08-29,1
SCORE00018,FARM0066,CROP021,Tomato,73.7,52.6,43.7,61.4,59.5,Weather fit 73.7/100 (forecast avg temp 26.4C vs ideal 27-25000C; 714mm forecast vs 450mm crop requirement); Market opportunity 52.6/100 (recent mandi trend); MSP safety 43.7/100; combined risk 61.4/100.,2026-08-29,3
SCORE00019,FARM0066,CROP010,Black Gram (Urad),33.1,74.3,63.5,51.5,54.3,Weather fit 33.1/100 (forecast avg temp 26.4C vs ideal 32-600C; 714mm forecast vs 350mm crop requirement); Market opportunity 74.3/100 (recent mandi trend); MSP safety 63.5/100; combined risk 51.5/100.,2026-08-29,5
SCORE00020,FARM0066,CROP016,Cotton,72.3,37.0,81.9,63.6,62.3,Weather fit 72.3/100 (forecast avg temp 26.4C vs ideal 32-550C; 714mm forecast vs 700mm crop requirement); Market opportunity 37.0/100 (recent mandi trend); MSP safety 81.9/100; combined risk 63.6/100.,2026-08-29,2
SCORE00021,FARM0025,CROP001,Rice (Paddy),37.0,28.2,64.6,39.9,40.3,Weather fit 37.0/100 (forecast avg temp 25.6C vs ideal 35-4200C; 691mm forecast vs 1250mm crop requirement); Market opportunity 28.2/100 (recent mandi trend); MSP safety 64.6/100; combined risk 39.9/100.,2026-08-29,5
SCORE00022,FARM0025,CROP022,Chili,82.4,28.5,28.0,55.4,51.3,Weather fit 82.4/100 (forecast avg temp 25.6C vs ideal 28-1800C; 691mm forecast vs 600mm crop requirement); Market opportunity 28.5/100 (recent mandi trend); MSP safety 28.0/100; combined risk 55.4/100.,2026-08-29,4
SCORE00023,FARM0025,CROP003,Maize,83.0,28.5,61.6,62.4,59.3,Weather fit 83.0/100 (forecast avg temp 25.6C vs ideal 27-3200C; 691mm forecast vs 550mm crop requirement); Market opportunity 28.5/100 (recent mandi trend); MSP safety 61.6/100; combined risk 62.4/100.,2026-08-29,2
SCORE00024,FARM0025,CROP015,Sesame,40.1,64.5,86.2,56.6,59.1,Weather fit 40.1/100 (forecast avg temp 25.6C vs ideal 32-500C; 691mm forecast vs 400mm crop requirement); Market opportunity 64.5/100 (recent mandi trend); MSP safety 86.2/100; combined risk 56.6/100.,2026-08-29,3
SCORE00025,FARM0025,CROP021,Tomato,71.8,64.6,34.0,62.1,60.6,Weather fit 71.8/100 (forecast avg temp 25.6C vs ideal 27-25000C; 691mm forecast vs 450mm crop requirement); Market opportunity 64.6/100 (recent mandi trend); MSP safety 34.0/100; combined risk 62.1/100.,2026-08-29,1
SCORE00026,FARM0024,CROP009,Green Gram (Moong),32.2,55.8,64.5,45.7,47.8,Weather fit 32.2/100 (forecast avg temp 26.2C vs ideal 32-600C; 707mm forecast vs 350mm crop requirement); Market opportunity 55.8/100 (recent mandi trend); MSP safety 64.5/100; combined risk 45.7/100.,2026-08-29,5
SCORE00027,FARM0024,CROP014,Sunflower,74.8,33.4,67.4,60.9,58.8,Weather fit 74.8/100 (forecast avg temp 26.2C vs ideal 28-1200C; 707mm forecast vs 500mm crop requirement); Market opportunity 33.4/100 (recent mandi trend); MSP safety 67.4/100; combined risk 60.9/100.,2026-08-29,2
SCORE00028,FARM0024,CROP018,Jute,55.7,61.6,21.6,50.6,49.9,Weather fit 55.7/100 (forecast avg temp 26.2C vs ideal 32-2200C; 707mm forecast vs 1200mm crop requirement); Market opportunity 61.6/100 (recent mandi trend); MSP safety 21.6/100; combined risk 50.6/100.,2026-08-29,3
SCORE00029,FARM0024,CROP003,Maize,84.7,26.0,80.8,66.3,63.6,Weather fit 84.7/100 (forecast avg temp 26.2C vs ideal 27-3200C; 707mm forecast vs 550mm crop requirement); Market opportunity 26.0/100 (recent mandi trend); MSP safety 80.8/100; combined risk 66.3/100.,2026-08-29,1
SCORE00030,FARM0024,CROP023,Turmeric,62.0,40.0,37.5,50.5,48.8,Weather fit 62.0/100 (forecast avg temp 26.2C vs ideal 30-5500C; 707mm forecast vs 1400mm crop requirement); Market opportunity 40.0/100 (recent mandi trend); MSP safety 37.5/100; combined risk 50.5/100.,2026-08-29,4
SCORE00031,FARM0061,CROP009,Green Gram (Moong),21.6,61.7,87.3,46.8,50.6,Weather fit 21.6/100 (forecast avg temp 24.0C vs ideal 32-600C; 803mm forecast vs 350mm crop requirement); Market opportunity 61.7/100 (recent mandi trend); MSP safety 87.3/100; combined risk 46.8/100.,2026-08-29,5
SCORE00032,FARM0061,CROP011,Soybean,67.2,45.0,64.3,60.0,58.9,Weather fit 67.2/100 (forecast avg temp 24.0C vs ideal 28-1500C; 803mm forecast vs 600mm crop requirement); Market opportunity 45.0/100 (recent mandi trend); MSP safety 64.3/100; combined risk 60.0/100.,2026-08-29,3
SCORE00033,FARM0061,CROP025,Mango,66.9,65.3,39.1,60.9,60.0,Weather fit 66.9/100 (forecast avg temp 24.0C vs ideal 30-8000C; 803mm forecast vs 900mm crop requirement); Market opportunity 65.3/100 (recent mandi trend); MSP safety 39.1/100; combined risk 60.9/100.,2026-08-29,2
SCORE00034,FARM0061,CROP008,Pigeon Pea (Tur),61.8,57.6,82.4,64.7,65.1,Weather fit 61.8/100 (forecast avg temp 24.0C vs ideal 30-900C; 803mm forecast vs 650mm crop requirement); Market opportunity 57.6/100 (recent mandi trend); MSP safety 82.4/100; combined risk 64.7/100.,2026-08-29,1
SCORE00035,FARM0061,CROP017,Sugarcane,37.7,57.1,88.3,53.6,56.0,Weather fit 37.7/100 (forecast avg temp 24.0C vs ideal 32-80000C; 803mm forecast vs 2000mm crop requirement); Market opportunity 57.1/100 (recent mandi trend); MSP safety 88.3/100; combined risk 53.6/100.,2026-08-29,4
SCORE00036,FARM0068,CROP010,Black Gram (Urad),36.7,41.7,79.5,46.8,48.3,Weather fit 36.7/100 (forecast avg temp 27.1C vs ideal 32-600C; 813mm forecast vs 350mm crop requirement); Market opportunity 41.7/100 (recent mandi trend); MSP safety 79.5/100; combined risk 46.8/100.,2026-08-29,5
SCORE00037,FARM0068,CROP001,Rice (Paddy),48.3,72.5,63.4,58.6,60.1,Weather fit 48.3/100 (forecast avg temp 27.1C vs ideal 35-4200C; 813mm forecast vs 1250mm crop requirement); Market opportunity 72.5/100 (recent mandi trend); MSP safety 63.4/100; combined risk 58.6/100.,2026-08-29,2
SCORE00038,FARM0068,CROP003,Maize,80.9,55.6,64.6,70.0,68.4,Weather fit 80.9/100 (forecast avg temp 27.1C vs ideal 27-3200C; 813mm forecast vs 550mm crop requirement); Market opportunity 55.6/100 (recent mandi trend); MSP safety 64.6/100; combined risk 70.0/100.,2026-08-29,1
SCORE00039,FARM0068,CROP019,Potato,74.9,48.1,21.9,56.3,53.5,Weather fit 74.9/100 (forecast avg temp 27.1C vs ideal 22-22000C; 813mm forecast vs 500mm crop requirement); Market opportunity 48.1/100 (recent mandi trend); MSP safety 21.9/100; combined risk 56.3/100.,2026-08-29,3
SCORE00040,FARM0068,CROP025,Mango,82.5,26.0,39.0,56.8,53.0,Weather fit 82.5/100 (forecast avg temp 27.1C vs ideal 30-8000C; 813mm forecast vs 900mm crop requirement); Market opportunity 26.0/100 (recent mandi trend); MSP safety 39.0/100; combined risk 56.8/100.,2026-08-29,4
SCORE00041,FARM0007,CROP004,Sorghum (Jowar),39.6,47.6,74.9,49.1,50.5,Weather fit 39.6/100 (forecast avg temp 27.1C vs ideal 33-1400C; 813mm forecast vs 450mm crop requirement); Market opportunity 47.6/100 (recent mandi trend); MSP safety 74.9/100; combined risk 49.1/100.,2026-08-29,4
SCORE00042,FARM0007,CROP013,Mustard,60.0,62.0,66.7,61.9,62.2,Weather fit 60.0/100 (forecast avg temp 27.1C vs ideal 25-1500C; 813mm forecast vs 350mm crop requirement); Market opportunity 62.0/100 (recent mandi trend); MSP safety 66.7/100; combined risk 61.9/100.,2026-08-29,2
SCORE00043,FARM0007,CROP010,Black Gram (Urad),36.7,43.4,56.8,42.7,43.6,Weather fit 36.7/100 (forecast avg temp 27.1C vs ideal 32-600C; 813mm forecast vs 350mm crop requirement); Market opportunity 43.4/100 (recent mandi trend); MSP safety 56.8/100; combined risk 42.7/100.,2026-08-29,5
SCORE00044,FARM0007,CROP003,Maize,80.9,64.7,83.3,76.5,75.9,Weather fit 80.9/100 (forecast avg temp 27.1C vs ideal 27-3200C; 813mm forecast vs 550mm crop requirement); Market opportunity 64.7/100 (recent mandi trend); MSP safety 83.3/100; combined risk 76.5/100.,2026-08-29,1
SCORE00045,FARM0007,CROP001,Rice (Paddy),48.3,61.7,85.0,59.7,61.4,Weather fit 48.3/100 (forecast avg temp 27.1C vs ideal 35-4200C; 813mm forecast vs 1250mm crop requirement); Market opportunity 61.7/100 (recent mandi trend); MSP safety 85.0/100; combined risk 59.7/100.,2026-08-29,3
SCORE00046,FARM0029,CROP022,Chili,81.7,57.4,37.4,65.6,63.1,Weather fit 81.7/100 (forecast avg temp 27.1C vs ideal 28-1800C; 813mm forecast vs 600mm crop requirement); Market opportunity 57.4/100 (recent mandi trend); MSP safety 37.4/100; combined risk 65.6/100.,2026-08-29,2
SCORE00047,FARM0029,CROP001,Rice (Paddy),48.3,34.7,80.7,50.7,51.1,Weather fit 48.3/100 (forecast avg temp 27.1C vs ideal 35-4200C; 813mm forecast vs 1250mm crop requirement); Market opportunity 34.7/100 (recent mandi trend); MSP safety 80.7/100; combined risk 50.7/100.,2026-08-29,5
SCORE00048,FARM0029,CROP007,Chickpea (Gram),60.0,41.7,67.5,56.0,55.4,Weather fit 60.0/100 (forecast avg temp 27.1C vs ideal 25-1200C; 813mm forecast vs 350mm crop requirement); Market opportunity 41.7/100 (recent mandi trend); MSP safety 67.5/100; combined risk 56.0/100.,2026-08-29,4
SCORE00049,FARM0029,CROP002,Wheat,67.7,40.9,72.7,60.7,59.6,Weather fit 67.7/100 (forecast avg temp 27.1C vs ideal 25-3600C; 813mm forecast vs 450mm crop requirement); Market opportunity 40.9/100 (recent mandi trend); MSP safety 72.7/100; combined risk 60.7/100.,2026-08-29,3
SCORE00050,FARM0029,CROP016,Cotton,70.2,57.9,73.0,67.1,66.6,Weather fit 70.2/100 (forecast avg temp 27.1C vs ideal 32-550C; 813mm forecast vs 700mm crop requirement); Market opportunity 57.9/100 (recent mandi trend); MSP safety 73.0/100; combined risk 67.1/100.,2026-08-29,1
SCORE00051,FARM0020,CROP013,Mustard,61.0,40.9,58.7,54.5,53.5,Weather fit 61.0/100 (forecast avg temp 25.6C vs ideal 25-1500C; 691mm forecast vs 350mm crop requirement); Market opportunity 40.9/100 (recent mandi trend); MSP safety 58.7/100; combined risk 54.5/100.,2026-08-29,5
SCORE00052,FARM0020,CROP023,Turmeric,58.6,67.2,27.6,55.0,54.4,Weather fit 58.6/100 (forecast avg temp 25.6C vs ideal 30-5500C; 691mm forecast vs 1400mm crop requirement); Market opportunity 67.2/100 (recent mandi trend); MSP safety 27.6/100; combined risk 55.0/100.,2026-08-29,4
SCORE00053,FARM0020,CROP014,Sunflower,73.2,46.9,53.7,61.4,59.6,Weather fit 73.2/100 (forecast avg temp 25.6C vs ideal 28-1200C; 691mm forecast vs 500mm crop requirement); Market opportunity 46.9/100 (recent mandi trend); MSP safety 53.7/100; combined risk 61.4/100.,2026-08-29,2
SCORE00054,FARM0020,CROP003,Maize,83.0,40.0,53.4,64.2,61.4,Weather fit 83.0/100 (forecast avg temp 25.6C vs ideal 27-3200C; 691mm forecast vs 550mm crop requirement); Market opportunity 40.0/100 (recent mandi trend); MSP safety 53.4/100; combined risk 64.2/100.,2026-08-29,1
SCORE00055,FARM0020,CROP019,Potato,84.7,42.2,37.7,62.6,59.2,Weather fit 84.7/100 (forecast avg temp 25.6C vs ideal 22-22000C; 691mm forecast vs 500mm crop requirement); Market opportunity 42.2/100 (recent mandi trend); MSP safety 37.7/100; combined risk 62.6/100.,2026-08-29,3
SCORE00056,FARM0010,CROP021,Tomato,84.3,73.7,35.6,71.4,69.4,Weather fit 84.3/100 (forecast avg temp 28.8C vs ideal 27-25000C; 626mm forecast vs 450mm crop requirement); Market opportunity 73.7/100 (recent mandi trend); MSP safety 35.6/100; combined risk 71.4/100.,2026-08-29,1
SCORE00057,FARM0010,CROP007,Chickpea (Gram),68.4,38.5,76.3,61.0,59.9,Weather fit 68.4/100 (forecast avg temp 28.8C vs ideal 25-1200C; 626mm forecast vs 350mm crop requirement); Market opportunity 38.5/100 (recent mandi trend); MSP safety 76.3/100; combined risk 61.0/100.,2026-08-29,4
SCORE00058,FARM0010,CROP025,Mango,81.8,56.3,40.6,65.9,63.5,Weather fit 81.8/100 (forecast avg temp 28.8C vs ideal 30-8000C; 626mm forecast vs 900mm crop requirement); Market opportunity 56.3/100 (recent mandi trend); MSP safety 40.6/100; combined risk 65.9/100.,2026-08-29,3
SCORE00059,FARM0010,CROP022,Chili,98.2,51.7,42.8,73.2,69.4,Weather fit 98.2/100 (forecast avg temp 28.8C vs ideal 28-1800C; 626mm forecast vs 600mm crop requirement); Market opportunity 51.7/100 (recent mandi trend); MSP safety 42.8/100; combined risk 73.2/100.,2026-08-29,2
SCORE00060,FARM0010,CROP009,Green Gram (Moong),52.8,45.8,61.4,52.4,52.4,Weather fit 52.8/100 (forecast avg temp 28.8C vs ideal 32-600C; 626mm forecast vs 350mm crop requirement); Market opportunity 45.8/100 (recent mandi trend); MSP safety 61.4/100; combined risk 52.4/100.,2026-08-29,5
SCORE00061,FARM0006,CROP011,Soybean,81.7,51.0,86.9,73.5,72.3,Weather fit 81.7/100 (forecast avg temp 27.1C vs ideal 28-1500C; 813mm forecast vs 600mm crop requirement); Market opportunity 51.0/100 (recent mandi trend); MSP safety 86.9/100; combined risk 73.5/100.,2026-08-29,2
SCORE00062,FARM0006,CROP003,Maize,80.9,61.2,69.8,72.8,71.6,Weather fit 80.9/100 (forecast avg temp 27.1C vs ideal 27-3200C; 813mm forecast vs 550mm crop requirement); Market opportunity 61.2/100 (recent mandi trend); MSP safety 69.8/100; combined risk 72.8/100.,2026-08-29,3
SCORE00063,FARM0006,CROP010,Black Gram (Urad),36.7,49.9,75.9,48.5,50.3,Weather fit 36.7/100 (forecast avg temp 27.1C vs ideal 32-600C; 813mm forecast vs 350mm crop requirement); Market opportunity 49.9/100 (recent mandi trend); MSP safety 75.9/100; combined risk 48.5/100.,2026-08-29,5
SCORE00064,FARM0006,CROP001,Rice (Paddy),48.3,47.4,72.0,52.8,53.4,Weather fit 48.3/100 (forecast avg temp 27.1C vs ideal 35-4200C; 813mm forecast vs 1250mm crop requirement); Market opportunity 47.4/100 (recent mandi trend); MSP safety 72.0/100; combined risk 52.8/100.,2026-08-29,4
SCORE00065,FARM0006,CROP014,Sunflower,70.9,73.6,87.3,75.0,75.6,Weather fit 70.9/100 (forecast avg temp 27.1C vs ideal 28-1200C; 813mm forecast vs 500mm crop requirement); Market opportunity 73.6/100 (recent mandi trend); MSP safety 87.3/100; combined risk 75.0/100.,2026-08-29,1
SCORE00066,FARM0035,CROP025,Mango,66.9,67.0,23.2,58.2,56.9,Weather fit 66.9/100 (forecast avg temp 24.0C vs ideal 30-8000C; 803mm forecast vs 900mm crop requirement); Market opportunity 67.0/100 (recent mandi trend); MSP safety 23.2/100; combined risk 58.2/100.,2026-08-29,2
SCORE00067,FARM0035,CROP004,Sorghum (Jowar),25.4,52.8,64.7,41.5,43.9,Weather fit 25.4/100 (forecast avg temp 24.0C vs ideal 33-1400C; 803mm forecast vs 450mm crop requirement); Market opportunity 52.8/100 (recent mandi trend); MSP safety 64.7/100; combined risk 41.5/100.,2026-08-29,5
SCORE00068,FARM0035,CROP005,Pearl Millet (Bajra),16.8,70.6,62.5,42.1,45.9,Weather fit 16.8/100 (forecast avg temp 24.0C vs ideal 33-1600C; 803mm forecast vs 400mm crop requirement); Market opportunity 70.6/100 (recent mandi trend); MSP safety 62.5/100; combined risk 42.1/100.,2026-08-29,4
SCORE00069,FARM0035,CROP008,Pigeon Pea (Tur),61.8,71.5,59.5,64.2,64.6,Weather fit 61.8/100 (forecast avg temp 24.0C vs ideal 30-900C; 803mm forecast vs 650mm crop requirement); Market opportunity 71.5/100 (recent mandi trend); MSP safety 59.5/100; combined risk 64.2/100.,2026-08-29,1
SCORE00070,FARM0035,CROP023,Turmeric,54.2,46.0,44.0,49.7,49.0,Weather fit 54.2/100 (forecast avg temp 24.0C vs ideal 30-5500C; 803mm forecast vs 1400mm crop requirement); Market opportunity 46.0/100 (recent mandi trend); MSP safety 44.0/100; combined risk 49.7/100.,2026-08-29,3
SCORE00071,FARM0052,CROP004,Sorghum (Jowar),62.5,54.8,87.3,65.2,65.6,Weather fit 62.5/100 (forecast avg temp 28.9C vs ideal 33-1400C; 650mm forecast vs 450mm crop requirement); Market opportunity 54.8/100 (recent mandi trend); MSP safety 87.3/100; combined risk 65.2/100.,2026-08-29,3
SCORE00072,FARM0052,CROP001,Rice (Paddy),51.5,51.9,59.1,53.1,53.4,Weather fit 51.5/100 (forecast avg temp 28.9C vs ideal 35-4200C; 650mm forecast vs 1250mm crop requirement); Market opportunity 51.9/100 (recent mandi trend); MSP safety 59.1/100; combined risk 53.1/100.,2026-08-29,5
SCORE00073,FARM0052,CROP002,Wheat,82.2,60.6,70.9,73.5,72.2,Weather fit 82.2/100 (forecast avg temp 28.9C vs ideal 25-3600C; 650mm forecast vs 450mm crop requirement); Market opportunity 60.6/100 (recent mandi trend); MSP safety 70.9/100; combined risk 73.5/100.,2026-08-29,1
SCORE00074,FARM0052,CROP015,Sesame,60.1,50.3,55.5,56.2,55.7,Weather fit 60.1/100 (forecast avg temp 28.9C vs ideal 32-500C; 650mm forecast vs 400mm crop requirement); Market opportunity 50.3/100 (recent mandi trend); MSP safety 55.5/100; combined risk 56.2/100.,2026-08-29,4
SCORE00075,FARM0052,CROP016,Cotton,82.3,32.2,87.2,68.2,66.1,Weather fit 82.3/100 (forecast avg temp 28.9C vs ideal 32-550C; 650mm forecast vs 700mm crop requirement); Market opportunity 32.2/100 (recent mandi trend); MSP safety 87.2/100; combined risk 68.2/100.,2026-08-29,2
SCORE00076,FARM0045,CROP006,Barley,60.0,72.8,88.6,69.6,71.0,Weather fit 60.0/100 (forecast avg temp 28.2C vs ideal 22-2800C; 862mm forecast vs 350mm crop requirement); Market opportunity 72.8/100 (recent mandi trend); MSP safety 88.6/100; combined risk 69.6/100.,2026-08-29,1
SCORE00077,FARM0045,CROP022,Chili,82.6,42.9,21.1,58.4,54.8,Weather fit 82.6/100 (forecast avg temp 28.2C vs ideal 28-1800C; 862mm forecast vs 600mm crop requirement); Market opportunity 42.9/100 (recent mandi trend); MSP safety 21.1/100; combined risk 58.4/100.,2026-08-29,4
SCORE00078,FARM0045,CROP018,Jute,70.2,52.7,38.4,58.6,56.8,Weather fit 70.2/100 (forecast avg temp 28.2C vs ideal 32-2200C; 862mm forecast vs 1200mm crop requirement); Market opportunity 52.7/100 (recent mandi trend); MSP safety 38.4/100; combined risk 58.6/100.,2026-08-29,3
SCORE00079,FARM0045,CROP007,Chickpea (Gram),60.0,57.4,52.1,57.6,57.3,Weather fit 60.0/100 (forecast avg temp 28.2C vs ideal 25-1200C; 862mm forecast vs 350mm crop requirement); Market opportunity 57.4/100 (recent mandi trend); MSP safety 52.1/100; combined risk 57.6/100.,2026-08-29,2
SCORE00080,FARM0045,CROP015,Sesame,41.5,36.6,78.2,47.4,48.3,Weather fit 41.5/100 (forecast avg temp 28.2C vs ideal 32-500C; 862mm forecast vs 400mm crop requirement); Market opportunity 36.6/100 (recent mandi trend); MSP safety 78.2/100; combined risk 47.4/100.,2026-08-29,5
SCORE00081,FARM0041,CROP017,Sugarcane,38.4,27.8,83.9,44.3,45.2,Weather fit 38.4/100 (forecast avg temp 24.5C vs ideal 32-80000C; 730mm forecast vs 2000mm crop requirement); Market opportunity 27.8/100 (recent mandi trend); MSP safety 83.9/100; combined risk 44.3/100.,2026-08-29,4
SCORE00082,FARM0041,CROP007,Chickpea (Gram),57.4,74.5,59.9,63.0,63.9,Weather fit 57.4/100 (forecast avg temp 24.5C vs ideal 25-1200C; 730mm forecast vs 350mm crop requirement); Market opportunity 74.5/100 (recent mandi trend); MSP safety 59.9/100; combined risk 63.0/100.,2026-08-29,1
SCORE00083,FARM0041,CROP024,Banana,49.6,27.7,44.5,42.0,40.9,Weather fit 49.6/100 (forecast avg temp 24.5C vs ideal 30-40000C; 730mm forecast vs 1800mm crop requirement); Market opportunity 27.7/100 (recent mandi trend); MSP safety 44.5/100; combined risk 42.0/100.,2026-08-29,5
SCORE00084,FARM0041,CROP025,Mango,65.8,63.4,31.4,58.2,57.1,Weather fit 65.8/100 (forecast avg temp 24.5C vs ideal 30-8000C; 730mm forecast vs 900mm crop requirement); Market opportunity 63.4/100 (recent mandi trend); MSP safety 31.4/100; combined risk 58.2/100.,2026-08-29,2
SCORE00085,FARM0041,CROP005,Pearl Millet (Bajra),26.0,48.9,86.6,45.0,47.8,Weather fit 26.0/100 (forecast avg temp 24.5C vs ideal 33-1600C; 730mm forecast vs 400mm crop requirement); Market opportunity 48.9/100 (recent mandi trend); MSP safety 86.6/100; combined risk 45.0/100.,2026-08-29,3
SCORE00086,FARM0003,CROP014,Sunflower,72.8,42.8,52.1,59.7,57.7,Weather fit 72.8/100 (forecast avg temp 26.6C vs ideal 28-1200C; 759mm forecast vs 500mm crop requirement); Market opportunity 42.8/100 (recent mandi trend); MSP safety 52.1/100; combined risk 59.7/100.,2026-08-29,2
SCORE00087,FARM0003,CROP021,Tomato,70.9,55.7,27.8,57.7,55.7,Weather fit 70.9/100 (forecast avg temp 26.6C vs ideal 27-25000C; 759mm forecast vs 450mm crop requirement); Market opportunity 55.7/100 (recent mandi trend); MSP safety 27.8/100; combined risk 57.7/100.,2026-08-29,3
SCORE00088,FARM0003,CROP013,Mustard,60.0,59.1,87.9,65.3,66.1,Weather fit 60.0/100 (forecast avg temp 26.6C vs ideal 25-1500C; 759mm forecast vs 350mm crop requirement); Market opportunity 59.1/100 (recent mandi trend); MSP safety 87.9/100; combined risk 65.3/100.,2026-08-29,1
